"Guid","Description","OpportunityId","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
000a6d16-5af1-476f-bc7c-91ec0dfd060c,"#N/A",6102b103-d582-4735-b76b-7a1537614ea8,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
000d9b26-28d7-4735-9e96-1ae7bf7c7b4c,"#N/A",6172aec2-4c3d-42cf-8df5-3d7595db2c19,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
0026e425-eb2e-4118-af8f-15c9bf66b654,"#N/A",d6cd88f6-3da4-4d36-9322-caf6167b9f2d,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00270bbe-1d1a-4904-b2e7-6be1e1dcf8bc,"#N/A",06961bf1-ea50-4ed3-a1c2-129266852cb0,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
002d0bff-ab0e-4600-83d7-c2c77b449221,"#N/A",b77e0a3b-21a1-48bf-beb6-9b2cabba48cc,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
003b76c2-0632-47d0-bf26-5b019ff77425,"#N/A",a27241b2-c12f-4df2-9d24-5f98d69496f5,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
005524f2-f315-4b60-a924-aaa6645c5825,"#N/A",9f8e0900-64c9-47b4-af7d-24a38a3d6e09,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
006602ae-f5da-4b30-adf8-f7ee731bf068,"#N/A",06961bf1-ea50-4ed3-a1c2-129266852cb0,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
006663b2-1b59-411f-9eb0-33247090ae9f,"#N/A",00070d14-cba0-49c0-8f4a-523f3193cb56,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
008ce242-a254-402c-b56f-d8d121d71d2f,"#N/A",fbfac5c9-7674-4202-91fa-f86ca7be0bc2,25.0,"#N/A","#N/A","#N/A","#N/A","#N/A",20000.0,800.0,"#N/A"
00d5ae43-c9cd-4f7c-952f-2a9971a3711c,"#N/A",9bc03b2b-b884-44f1-9705-37685b8bc0a6,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
00ee1c22-3045-4e40-9611-7529d8233b06,"#N/A",fe32ec8f-a8e1-4649-9804-8763be5be9ca,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00ee9f65-466b-459d-88c3-556bb3e57214,"#N/A",7159ac68-d222-4d96-bdbe-1164bad5803d,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
