"Guid","Description","OpportunityId","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
0007b2b9-0b3a-4979-a924-aa0f0c76d1a4,"#N/A",dd69cfd4-867a-486b-9c21-81ef110dfc92,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
000d035d-7982-4435-9248-9b3e1e67a365,"#N/A",10189834-5b6b-49d8-b077-a4d86fde572a,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
0010f981-6317-4a65-947b-def5b8673eb6,"#N/A",dbd68d9c-a9c8-4211-a73b-08ccecd2b679,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
0018e0d2-414f-469f-bc1d-ea69a25d9fcb,"#N/A",a7b29fb7-eb3a-410d-9f57-50611f6aa89b,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
002f4633-90d7-4679-92dd-d12878709c95,"#N/A",55a89f13-a486-4bbf-b968-8def9b5fb0bd,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
004f9698-919c-4f7d-9ee7-20a7687dccf8,"#N/A",e5a429bf-0650-4168-8642-1ee0e81365e6,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
0050be1c-12ce-4674-b22a-bed2ea613517,"#N/A",2d6854c8-e885-43dd-b109-fc7ad12d6bc1,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00541de0-16c5-470c-9d75-dca4849166bc,"#N/A",a7c88b4e-7105-4e7e-ab56-dd346a074dd0,10.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5800.0,580.0,"#N/A"
0063cfb4-5b0e-4bbd-9e7c-3ff67d864392,"#N/A",8d46e216-6a43-4518-8744-c8eaacaecf0b,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
007699a4-c5bc-470d-8391-1ac814dde201,"#N/A",c85487c8-3cff-48aa-be5e-5329f4db618b,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
007866a2-5192-4be7-a549-ea735635aa62,"#N/A",16e282b4-58ab-4360-82df-ab283e623571,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
007a6691-fe6f-4028-a81d-5f90dc106339,"#N/A",97fa9177-de28-4936-b7ad-da42e50648a5,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
007e84fe-556d-4890-a7a8-01bbbc68c531,"#N/A",eae55a65-26e4-4800-b6e7-4c8c9885efc4,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
009d80a9-a5a6-4897-abb3-701ed0e185ca,"#N/A",0a8f3be1-c11d-498e-a25e-2fe2bd6a8e72,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
00b56c6d-49b4-4d0d-a3c3-5665544722bc,"#N/A",92be0737-f1d6-45b2-b1b2-ce8195c8a65c,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
00c8c9f9-07af-4693-9c0a-af5077ef7018,"#N/A",07a69376-1bce-46bc-bdc2-e054463c6e47,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1000.0,1000.0,"#N/A"
00dbefc7-7384-4697-8e5f-48e26ba49723,"#N/A",53c7dfba-6e90-4887-9166-65eca2166e0b,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00e43ac8-1d7a-40fd-ab0a-9284664627e3,"#N/A",1aa0df30-c0ae-49d4-b74e-cc27ec899cd7,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
00f0d665-cdf5-440a-812d-f2bcfa46ff7a,"#N/A",58fd68c8-d79e-4208-9320-c9fca1a05692,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00f6fa80-b9cf-4bfe-a842-e854724ec293,"#N/A",404e8c2e-7d5a-404b-8313-81f723bdad93,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
00f716b3-28ed-4498-bddf-44acb0a56424,"#N/A",7e5e40e8-690c-4684-8909-017edbc82600,25.0,"#N/A","#N/A","#N/A","#N/A","#N/A",20000.0,800.0,"#N/A"
010305e3-b4cc-4ed7-bd98-4d6e7331b0fd,"#N/A",cab76be4-8d2d-4e02-b35a-768b8f32dec1,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
